MODEL NOT LOADED
Epoch 1/10, Training Loss:31.77704848798635, Validation Loss:11.934062455482634
Epoch 2/10, Training Loss:6.632079059068339, Validation Loss:28.361023346425988
Epoch 3/10, Training Loss:6.607724717533553, Validation Loss:55.10349762298373
Epoch 4/10, Training Loss:6.583386353580935, Validation Loss:14.201342604377054
Epoch 5/10, Training Loss:6.569975028936517, Validation Loss:18.905995809042405
Epoch 6/10, Training Loss:6.535929350011073, Validation Loss:31.792495164475422
Epoch 7/10, Training Loss:6.51811749477061, Validation Loss:29.999901158065192
Epoch 8/10, Training Loss:6.49774026528782, Validation Loss:204.73738856937575
Epoch 9/10, Training Loss:6.521085414051655, Validation Loss:43.20422475705505
Epoch 10/10, Training Loss:6.499331424840008, Validation Loss:10.326945655901913
