MODEL NOT LOADED
Epoch 1/10, Training Loss:2.516506381015985, Training Accuracy:0.10765949636697769, Validation Loss:4.567814299240414, Validation Accuracy:0.11730071902275085
Epoch 2/10, Training Loss:2.333279235780416, Training Accuracy:0.11996167153120041, Validation Loss:2.896633430903137, Validation Accuracy:0.1200592890381813
Epoch 3/10, Training Loss:2.318084536744862, Training Accuracy:0.12246537953615189, Validation Loss:3.3245948840506934, Validation Accuracy:0.1197710856795311
Epoch 4/10, Training Loss:2.304304033311491, Training Accuracy:0.12904921174049377, Validation Loss:7.171476678885961, Validation Accuracy:0.1357460469007492
Epoch 5/10, Training Loss:2.2905369189325593, Training Accuracy:0.13699308037757874, Validation Loss:135.7345151514875, Validation Accuracy:0.10499011725187302
Epoch 6/10, Training Loss:2.283931638496448, Training Accuracy:0.1415986716747284, Validation Loss:3.495701098630551, Validation Accuracy:0.14266304671764374
Epoch 7/10, Training Loss:2.2775463330403753, Training Accuracy:0.14604970812797546, Validation Loss:2.790244574132173, Validation Accuracy:0.14978590607643127
Epoch 8/10, Training Loss:2.270805011811997, Training Accuracy:0.1490788757801056, Validation Loss:7.032353297759422, Validation Accuracy:0.1670372039079666
Epoch 9/10, Training Loss:2.2657063353427205, Training Accuracy:0.15318991243839264, Validation Loss:2.4342068372507812, Validation Accuracy:0.1611495465040207
Epoch 10/10, Training Loss:2.2617517756307395, Training Accuracy:0.15717729926109314, Validation Loss:2.8414589015862686, Validation Accuracy:0.17115448415279388
