Epoch 1/10, Training Loss:6.392810232738359, Validation Loss:7.9695488115544375
Epoch 2/10, Training Loss:6.3896184414477775, Validation Loss:119.22684983962138
Epoch 3/10, Training Loss:6.388085164785621, Validation Loss:47.52911026298764
Epoch 4/10, Training Loss:6.391043130651072, Validation Loss:26.77851045532189
Epoch 5/10, Training Loss:6.387396542125121, Validation Loss:33.27904778106411
Epoch 6/10, Training Loss:6.384183583403435, Validation Loss:42.31086178589244
Epoch 7/10, Training Loss:6.3876177782946355, Validation Loss:9.839744396831678
Epoch 8/10, Training Loss:6.384944263716716, Validation Loss:35.490159645146534
Epoch 9/10, Training Loss:6.380008213715785, Validation Loss:156.08623384534135
Epoch 10/10, Training Loss:6.382459235415379, Validation Loss:27.822565114545256
